date,data_source,channel_group,campaign,source_medium,impressions,clicks,sessions,total_users,new_users,conversions,leads,booked,attended,total_cost,total_revenue,treatment
2025-08-27,Google Ads,Paid Search,Branded Search,google / cpc,13356,695,612,436,267,22,22,14,11,2917.18,4891.87,
2025-08-27,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,13862,176,174,140,79,1,1,1,1,1141.24,473.66,
2025-08-27,Meta Ads,Paid Social,Lead Gen Form,facebook / paid,24253,395,371,310,167,8,8,4,3,716.71,1449.53,
2025-08-27,Organic Search,Organic Search,Evergreen SEO,google / organic,436,23,275,232,96,9,9,5,4,0.0,1744.15,
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,2,4,4,3,3,58.15,539.9,Cleaning
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,17.17,1023.62,Crown
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,1,1,1,1,13.09,301.81,Extraction
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,13.82,212.81,Filling
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,1,1,1,1,11.61,743.1,Implant Consult
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,11.77,386.55,Ortho Consult
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,8.0,1198.85,Root Canal
2025-08-27,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,18.7,1394.96,Veneers
2025-08-28,Google Ads,Paid Search,Nonbrand Search,google / cpc,11983,583,611,439,189,15,15,9,7,1622.8,3335.9,
2025-08-28,LinkedIn Ads,Paid Social,Clinic Partnerships,linkedin / paid,16327,197,165,107,54,1,1,1,1,1160.1,450.33,
2025-08-28,Meta Ads,Paid Social,Lead Gen Form,instagram / paid,31376,353,420,354,196,10,10,6,5,424.04,1847.49,
2025-08-28,Organic Search,Organic Search,Evergreen SEO,google / organic,284,19,282,194,85,8,8,5,4,0.0,1031.51,
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,8,8,1,7,7,5,5,48.65,698.41,Cleaning
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,11.24,821.38,Crown
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,5,5,3,2,24.96,553.84,Filling
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,2,5,5,4,4,42.8,2916.79,Implant Consult
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Ortho Consult
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,13.23,1185.22,Root Canal
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,8.41,1393.39,Veneers
2025-08-28,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,12.91,286.78,Whitening
2025-08-29,Google Ads,Paid Search,Competitor Conquest,google / cpc,16030,659,649,539,235,12,12,6,6,3054.68,1933.01,
2025-08-29,LinkedIn Ads,Paid Social,Clinic Partnerships,linkedin / paid,21017,175,209,172,105,1,1,1,1,1460.59,343.95,
2025-08-29,Meta Ads,Paid Social,Retargeting (Social),facebook / paid,24975,488,490,351,132,18,18,12,10,661.41,3850.71,
2025-08-29,Organic Search,Organic Search,Local SEO,google / organic,643,23,274,219,111,8,8,5,3,0.0,1347.38,
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,5,5,3,2,37.42,276.71,Cleaning
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,5,5,1,6,6,4,3,80.79,2844.35,Crown
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,27.6,237.0,Filling
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,1,1,1,1,13.97,645.16,Implant Consult
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,17.58,461.65,Ortho Consult
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,4,4,3,2,38.82,2622.94,Root Canal
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,17.35,1117.96,Veneers
2025-08-29,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,46.92,531.34,Whitening
2025-08-30,Google Ads,Paid Search,Retargeting (Search),google / cpc,11845,584,637,494,297,26,26,15,12,2108.08,7607.82,
2025-08-30,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,7048,146,170,112,43,2,2,1,1,835.31,388.03,
2025-08-30,Meta Ads,Paid Social,Awareness Video,instagram / paid,38366,466,449,307,127,8,8,4,3,1021.77,885.9,
2025-08-30,Organic Search,Organic Search,Evergreen SEO,google / organic,497,16,256,215,78,12,12,7,5,0.0,2268.04,
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,11.38,146.0,Cleaning
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,5,5,1,3,3,3,3,34.57,2482.32,Crown
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,17.86,348.98,Extraction
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,4,4,3,2,33.32,625.0,Filling
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,10.81,474.21,Ortho Consult
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,51.42,2861.27,Veneers
2025-08-30,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,2,2,2,2,33.83,567.91,Whitening
2025-08-31,Google Ads,Paid Search,Branded Search,google / cpc,16703,603,570,433,212,32,32,18,14,1397.21,6332.53,
2025-08-31,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,10771,156,162,104,57,1,1,1,1,980.7,519.56,
